N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
88,아모레G,"45,950",950,-2.03%,500,"37,890","82,458",15.16,"116,076",24.51,5.49,
89,한미약품,"303,500","1,500",-0.49%,"2,500","37,385","12,318",13.35,"24,312",55.78,8.75,
90,오리온,"93,500",600,-0.64%,500,"36,966","39,536",35.77,"224,879",14.34,12.75,
91,이마트,"132,500","5,000",-3.64%,"5,000","36,935","27,876",29.40,"117,581",2.35,16.25,
92,한국가스공사,"39,800",700,-1.73%,"5,000","36,741","92,313",10.52,"227,068",3.86,11.63,
93,한진칼,"54,900","1,400",-2.49%,"2,500","36,652","66,761",14.53,"53,230",213.62,1.11,
94,현대오토에버,"131,000","4,000",-2.96%,500,"35,925","27,424",1.93,"73,816",48.48,7.26,
95,삼성증권,"39,350",650,-1.62%,"5,000","35,140","89,300",29.80,"356,166",3.64,16.94,
96,롯데지주,"33,300",700,-2.06%,200,"34,935","104,909",7.73,"114,841",11.43,4.61,
97,NH투자증권,"10,500",400,-3.67%,"5,000","34,825","331,666",15.68,"1,506,296",3.42,14.77,
98,GS건설,"40,400",950,-2.30%,"5,000","34,575","85,581",27.60,"360,614",8.43,9.32,
99,팬오션,"6,440",210,-3.16%,"1,000","34,426","534,570",13.85,"1,670,096",6.26,17.16,
100,현대미포조선,"85,000",600,-0.70%,"5,000","33,951","39,942",12.64,"219,396",-21.26,-7.11,
101,현대차2우B,"92,000","1,500",-1.60%,"5,000","33,567","36,485",61.13,"121,900",5.16,N/A,
102,한미사이언스,"48,000","1,000",-2.04%,500,"32,939","68,624",1.93,"91,059",76.68,6.37,
103,BGF리테일,"183,000","3,500",+1.95%,"1,000","31,630","17,284",30.85,"32,468",21.42,19.61,
104,호텔신라,"80,100","2,200",-2.67%,"5,000","31,438","39,248",13.51,"316,232",118.32,4.51,
105,DB하이텍,"69,200","2,200",-3.08%,"5,000","30,724","44,399",23.33,"634,710",9.72,33.35,
106,KCC,"344,000","4,000",+1.18%,"5,000","30,569","8,886",10.23,"95,601",-66.77,-0.92,
107,포스코인터내셔널,"24,600",350,-1.40%,"5,000","30,350","123,375",7.48,"2,163,400",8.41,10.86,
108,현대해상,"33,700",150,+0.45%,500,"30,128","89,400",27.89,"415,329",6.96,8.82,
109,GS리테일,"28,300",600,-2.08%,"1,000","29,635","104,718",7.34,"174,105",3.16,25.58,
110,한화시스템,"15,650",150,-0.95%,"5,000","29,566","188,919",3.17,"340,610",24.84,6.04,
111,제일기획,"25,000",400,-1.57%,200,"28,760","115,041",31.67,"197,987",17.39,15.58,
112,CJ대한통운,"122,000","3,000",-2.40%,"5,000","27,831","22,812",19.13,"40,867",50.83,1.59,
113,대우조선해양,"25,900",250,-0.96%,"5,000","27,788","107,291",4.34,"450,161",-1.63,-55.86,
114,한전기술,"71,700","3,500",-4.65%,200,"27,404","38,220",1.62,"388,506",166.74,3.25,
115,동서,"27,450",150,-0.54%,500,"27,368","99,700",2.99,"127,018",24.14,8.05,
116,TIGER 차이나전기차SOLACTIVE,"11,180",800,-6.68%,0,"26,966","241,200",0.21,"11,910,051",N/A,N/A,
117,한화생명,"3,075",30,-0.97%,"5,000","26,707","868,530",7.87,"1,151,622",2.24,10.79,
118,롯데쇼핑,"93,100","4,700",-4.81%,"5,000","26,337","28,289",10.84,"108,441",-9.01,-2.94,
119,한솔케미칼,"231,000","4,500",-1.91%,"5,000","26,184","11,335",37.96,"45,416",17.65,23.88,
120,대우건설,"6,300",260,-3.96%,"5,000","26,184","415,623",10.89,"1,399,271",5.40,16.47,
121,한화에어로스페이스,"51,700",700,-1.34%,"5,000","26,176","50,630",21.35,"241,913",10.36,9.21,
122,씨에스윈드,"61,900",900,-1.43%,500,"26,104","42,171",11.37,"267,230",38.66,10.13,
123,BNK금융지주,"8,000",40,-0.50%,"5,000","26,075","325,935",40.29,"1,440,495",3.30,8.76,
124,에스원,"67,500","1,000",-1.46%,500,"25,649","37,999",53.10,"37,836",19.88,9.13,
125,CJ,"86,500","1,900",-2.15%,"5,000","25,238","29,177",17.63,"30,807",11.22,5.66,
126,하이트진로,"35,950",550,-1.51%,"5,000","25,213","70,134",8.59,"264,838",35.70,6.62,
127,만도,"53,500","1,000",-1.83%,"1,000","25,122","46,957",18.44,"463,808",15.03,9.31,
128,키움증권,"95,000","1,600",-1.66%,"5,000","24,909","26,220",25.21,"44,767",2.90,25.38,
129,KG스틸,"23,950",300,+1.27%,"5,000","23,952","100,009",0.67,"8,531,364",12.55,17.99,
130,OCI,"100,000","1,500",-1.48%,"5,000","23,849","23,849",14.82,"100,536",3.68,23.93,
131,신세계,"241,000","15,500",-6.04%,"5,000","23,727","9,845",26.30,"120,235",7.73,8.54,
132,두산퓨얼셀,"35,300","1,200",-3.29%,100,"23,119","65,494",14.62,"437,639",333.02,1.69,
133,롯데정밀화학,"89,000","5,000",+5.95%,"5,000","22,962","25,800",20.57,"538,718",3.92,30.43,
134,솔루스첨단소재,"73,700","3,100",-4.04%,100,"22,545","30,590",5.72,"464,116",255.02,4.00,
135,한화,"29,850",600,-1.97%,"5,000","22,375","74,959",16.40,"173,478",3.24,20.22,
136,대한전선,"1,790",60,-3.24%,100,"22,276","1,244,473",2.61,"19,220,951",59.67,7.78,
137,현대차우,"91,200",500,-0.55%,"5,000","22,213","24,357",56.88,"41,821",5.11,N/A,
138,SK케미칼,"125,000","1,500",-1.19%,"5,000","22,026","17,621",18.57,"72,398",14.67,11.19,
139,효성첨단소재,"489,500","12,500",-2.49%,"5,000","21,929","4,480",6.91,"32,755",8.75,54.69,
140,녹십자,"181,000","3,000",-1.63%,"5,000","21,153","11,687",22.53,"26,170",17.17,10.30,
141,KODEX 레버리지,"18,530",620,-3.24%,0,"20,754","112,000",2.38,"17,634,577",N/A,N/A,
142,영원무역,"46,500","3,350",-6.72%,500,"20,605","44,311",28.42,"370,061",6.91,14.71,
143,현대로템,"18,850",600,-3.08%,"5,000","20,573","109,142",4.49,"463,246",30.95,5.01,
144,TIGER 미국나스닥100,"74,200","1,985",-2.61%,0,"20,249","27,290",0.07,"425,024",N/A,N/A,
145,KODEX 200선물인버스2X,"2,665",90,+3.50%,0,"20,249","759,800",5.78,"160,960,829",N/A,N/A,
146,휠라홀딩스,"33,250",800,-2.35%,"1,000","20,200","60,752",39.14,"330,103",8.59,16.20,
147,대웅제약,"170,500","3,000",-1.73%,"2,500","19,755","11,587",7.64,"33,433",80.12,4.39,
148,농심,"316,000","1,500",+0.48%,"5,000","19,221","6,083",12.32,"34,637",19.25,4.73,
